profile_name,about_spec
Управление пространственным развитием городов,"комплексно решать задачи управления развитием городов и агломераций, в рамках полноценной реализации концепции устойчивого развития при строительстве и эксплуатации зданий, учитывающей экологические и энергетические аспекты на протяжении всего жизненного цикла с этапа проектирования и до момента выведения из эксплуатации и утилизации отходов;   осуществлять правовое регулирование градостроительной деятельности и управления городской коммунальной инфраструктурой для принятия обоснованных управленческих решений;   проводить анализ качества городской среды с использованием передовых цифровых интеллектуальных и геоинформационных технологий в области градостроительства, экологии, энергетики, логистики, экономики, социальных и культурных факторов;   управлять организацией инвестиционных процессов и осуществлять сопровождение масштабных градостроительных проектов;   решать научно-технические задачи в области строительства, строительной индустрии и жилищно-коммунального хозяйства на основе знания проблем отрасли и опыта их решения."
Современные системы теплоснабжения и обеспечения микроклимата зданий,"определять мощность системы отопления, необходимую для формирования теплового комфорта в помещениях различного назначения;                    навыкам создания универсальных систем, обеспечивающих комфортный микроклимат в зданиях;    основным этапам процессов проектирования и эксплуатации систем теплоснабжения и вентиляции;                    разрабатывать оптимальные и безопасные гидравлические режимы работы тепловых сетей, осуществлять мероприятия по сбережению ресурсов."
Логика и дизайн пользовательских интерфейсов,"решать инженерно-технические задачи на современных вычислительных машинах с использованием различных средств программирования; основам программной инженерии; разрабатывать архитектуру программного обеспечения и создавать техническую и проектную документации к нему; создавать и сопровождать базы данных и пользовательские приложения; использовать сетевые технологии при проектировании программно-аппаратных комплексов сложной структуры, алгоритмизации, а также технологии рабочего проектирования сложных программных комплексов с использованием Web-технологий; основным приемам программирования мобильных приложений для операционной системы Android, навыками проектирования архитектуры и разработки интерфейсов мобильных приложений."
Программное обеспечение средств вычислительной техники и автоматизированных систем,"решать инженерно-технические задачи на современных вычислительных машинах с использованием различных средств программирования; основам программной инженерии; разрабатывать архитектуру программного обеспечения и создавать техническую и проектную документации к нему; создавать и сопровождать базы данных и пользовательские приложения; использовать сетевые технологии при проектировании программно-аппаратных комплексов сложной структуры, алгоритмизации, а также технологии рабочего проектирования сложных программных комплексов с использованием Web-технологий; основным приемам программирования мобильных приложений для операционной системы Android, навыками проектирования архитектуры и разработки интерфейсов мобильных приложений."
Проектирование и разработка Web-приложений,"решать инженерно-технические задачи на современных вычислительных машинах с использованием различных средств программирования; основам программной инженерии; разрабатывать архитектуру программного обеспечения и создавать техническую и проектную документации к нему; создавать и сопровождать базы данных и пользовательские приложения; использовать сетевые технологии при проектировании программно-аппаратных комплексов сложной структуры, алгоритмизации, а также технологии рабочего проектирования сложных программных комплексов с использованием Web-технологий; основным приемам программирования мобильных приложений для операционной системы Android, навыками проектирования архитектуры и разработки интерфейсов мобильных приложений."
Разработка компьютерных игр и AR/VR-приложений (виртуальной/дополненной реальности),"реализовывать полный цикл производства AR/VR проектов – начиная от оформления изначальной задумки, разработки сценария, создания сюжета, механик игрового мира, до формирования команды специалистов, расчета бюджетов и сроков реализации проектов, выпуска и монетизации готового продукта; проектировать, реализовывать, внедрять и эксплуатировать разнообразные VR/AR-приложения: компьютерные игры, виртуальные тренажеры и симуляторы, маркетинговые инструменты, визуализации цифрового двойника предприятия и пр.; применять средства разработки VR/AR-контента и технологии совершенствования пользовательского опыта (UX) со стороны разработчика; универсальные инструменты для создания, редактирования и доставки контента в VR/AR."
Управление проектами разработки бизнес-приложений для цифровой экономики,"основам построения алгоритмов и чтению технической документации; использовать среды разработки и языки программирования для написания программ; оптимизировать программный код для улучшения быстродействия работы программы; эргономично выстраивать интерфейс прикладной программы; методологиям построения моделей современных информационных систем на основе системных, функциональных и пользовательских требований; использовать современные информационно-коммуникационные технологии при создании программных средств; выполнять интеграцию программных средств в различную ИТ-инфраструктуру; исследовать реализуемость ИТ-проекта; эффективно планировать проект и формировать проектную документацию; разрабатывать бюджет проекта и проводить оценку экономической эффективности ИТ-проекта; подбирать и руководить командой проекта; определять метрики качества и организовывать контроль качества; оценивать затраты на реализацию ИТ-проекта; производить расчеты электронными деньгами, анализировать маркетинговую среду организации и конъюнктуру рынка; использовать аппарат финансового менеджмента для оценки показателей эффективности ИТ-проекта; определять экономические риски при внедрении ИТ-проектов; работе с нормативными и правовыми актами, регламентирующими деятельность в области информационной безопасности (ИБ) и защиты информации (ЗИ)."
Программное обеспечение для цифровизации предприятий и организаций,"основным принципам организации параллельных вычислений с использованием современных высокопроизводительных средств вычислительной техники; способам представления и использования знаний в системах искусственного интеллекта; разрабатывать и реализовывать планы информатизации предприятий и их подразделений на основе Web- и CALS-технологий, выбирать методы и разрабатывать алгоритмы решения задач управления и проектирования объектов автоматизации, применять современные технологии разработки программных комплексов с использованием CASE-средств, контролировать качество разрабатываемых программных продуктов;  методам и средствам получения, хранения, переработки и трансляции информации посредством современных компьютерных технологий, в том числе в глобальных компьютерных сетях."
Прикладная информатика в цифровой экономике,"исследовать реализуемость ИТ-проекта, проводить работу с руководством и заказчиком; эффективно планировать проект и формировать проектную документацию; разрабатывать бюджет проекта и проводить оценку экономической эффективности ИТ-проекта; подбирать и руководить командой проекта; определять метрики качества и организовывать контроль качества как ИТ-продукта, так и хода выполнения проекта; контролировать и вносить изменения, завершать проект; передавать продукт в эксплуатацию; управлять знаниями в проекте; моделированию и проектированию прикладных и информационных процессов на основе современных технологий; использованию и разработке методов формализации и алгоритмизации информационных процессов; применять методы математического моделирования процессов и объектов для создания эффективной среды отладки; методы планирования разработки и управления проектами ПО; проводить эксперименты с ПО по заданной методике с анализом результатов и др.; исследовать и применять перспективные методики информационного консалтинга, информационного маркетинга; определять стратегию использования ИКТ для создания ИС в прикладных областях, согласованной со стратегией развития организации."
Разработка автоматизированных систем в защищенном исполнении,"разработке эффективных решений по обеспечению информационной безопасности автоматизированных систем; моделированию и исследованию свойств защищенных автоматизированных систем; анализу защищенности информации в автоматизированных системах и безопасности реализуемых информационных технологий; разработке политики информационной безопасности автоматизированных систем; выполнению проектов по созданию программ, комплексов программ, программно-аппаратных средств, баз данных, компьютерных сетей для защищенных автоматизированных систем; разработке систем управления информационной безопасностью автоматизированных систем; проведению инструментального мониторинга защищенности автоматизированных систем и анализа его результатов; организации работ по созданию, внедрению, эксплуатации и сопровождению защищенных автоматизированных систем; управлению информационной безопасностью автоматизированных систем; разработке и исследованию моделей информационно-технологических ресурсов, модели угроз и модели нарушителей информационной безопасности в распределенных информационных системах; удаленному администрированию операционных систем и систем баз данных в распределенных информационных системах; аудиту защищенности информационно-технологических ресурсов."
Промышленная электроника информационных систем,"разрабатывать, проектировать и программировать информационные и управляющие системы; создавать системы мониторинга и диагностирования параметров работы систем и объектов; оперативно находить аппаратную или программную неисправность и устранять ее; выявлять недостатки в работе технологических систем и объектов, выполнять анализ причин неудовлетворительной работы; руководить работой по созданию новой системы и IT-продукта на основе новейших достижений электроники с учетом конкретики технического объекта; выполнять технико-экономический анализ вариантов системы и выбирать наиболее технико-экономический вариант; владеть навыками использования измерительного и паяльного оборудования; читать схемы устройств аналоговой, цифровой, микропроцессорной техники; разрабатывать алгоритмы и программы на языках машинных кодов и языках высокого уровня и др."
Интернет вещей в промышленной электронике,"разрабатывать, проектировать и программировать информационные и управляющие системы; создавать системы мониторинга и диагностирования параметров работы систем и объектов; оперативно находить аппаратную или программную неисправность и устранять ее; выявлять недостатки в работе технологических систем и объектов, выполнять анализ причин неудовлетворительной работы; руководить работой по созданию новой системы и IT-продукта на основе новейших достижений электроники с учетом конкретики технического объекта; выполнять технико-экономический анализ вариантов системы и выбирать наиболее технико-экономический вариант; владеть навыками использования измерительного и паяльного оборудования; читать схемы устройств аналоговой, цифровой, микропроцессорной техники; разрабатывать алгоритмы и программы на языках машинных кодов и языках высокого уровня и др."
Промышленная электроника Индустрии 4.0,"разрабатывать, проектировать, программировать, сопровождать в эксплуатации и обслуживать приборы, информационные и управляющие устройства различного функционального назначения от бытовой техники до космоса с применением систем автоматизированного проектирования электронных устройств и систем; выполнять технико-экономический анализ вариантов электронных систем и выбирать наиболее выгодный вариант;  разрабатывать алгоритмы и программы на языках машинных кодов и языках высокого уровня; разрабатывать математические и компьютерные модели электронных систем; проектировать и программировать информационные и управляющие системы, создавать системы мониторинга и диагностирования параметров работы систем и объектов; выявлять недостатки в работе технологических электронных систем и объектов, выполнять анализ причин неудовлетворительной работы, разрабатывать программу работ и руководить работой по созданию новой системы и IT-продукта на основе новейших достижений электроники с учетом конкретики технического объекта."
Интеллектуальные системы неразрушающего контроля,"основам приборостроения, включая технологии проектирования и производства приборов;   различным видам и методам неразрушающего контроля, таким как акустический контроль, радиография, вихретоковый контроль, контроль проникающими веществами, магнитная дефектоскопия, визуальный контроль;   основам материаловедения и механики разрушения для правильной интерпретации результатов контроля и оценки состояния материалов и изделий;   работе с интеллектуальными системами, включая обработку данных, анализ изображений и сигналов, алгоритмы машинного обучения и искусственного интеллекта;   методам компьютерного моделирования объектов контроля во взаимодействии с контролирующими приборами;   разработке и использованию контрольно-измерительных приборов, систем и комплексов;   работе с программным обеспечением, компьютерным технологиям и информационно-измерительным технологиям в приборостроении."
Энергообеспечение предприятий,"участвовать в монтажных и пусконаладочных работах энергетического, теплотехнического и теплотехнологического оборудования; выполнять расчеты и проектировать схемы, детали и узлы оборудования с использованием средств автоматизации проектирования; осуществлять контроль соблюдения технологической дисциплины и норм расхода топлива и всех видов энергии; осуществлять контроль соблюдения экологической безопасности на производстве; участвовать в аудите и проверке технического состояния и остаточного ресурса оборудования; составлять заявки на оборудование и запасные части для ремонтов."
Электропривод и автоматика,выполнять расчёт и выбор электрооборудования для систем автоматизированного электропривода; выполнять наладку электроприводов постоянного и переменного тока на основе силовых полупроводниковых преобразователей; проектировать системы автоматизированного управления электроприводами и систем управления технологическими процессами; составлять и оформлять техническую документацию; программировать промышленные логические контроллеры с помощью специального программного обеспечения; моделировать сложные электротехнические системы с автоматизированными электроприводами; выполнять параметрирование и вводить в работу тиристорные и частотные преобразователи; возможно дальнейшее участие в научной деятельности на следующих этапах обучения (в магистратуре и аспирантуре) и научно-исследовательских центрах.
Электроснабжение,"обеспечивать и контролировать режимы работы технологического оборудования на производственных предприятиях, городских и сельских объектах; выполнять расчет параметров режимов работы объектов электроэнергетических систем и электрических сетей; заниматься техникой безопасности электроэнергетических объектов на производстве, в городских и сельских сетях; составлять и оформлять техническую документацию; участвовать в расчетах и проектировании систем электроснабжения промышленных и гражданских объектов;  проводить обоснования проектных расчетов для промышленных, городских и сельских сетей и электростанций;  осуществлять монтаж, наладку и испытания объектов электроэнергетики, в том числе на электростанциях, подстанциях, промышленных предприятиях; выбирать и применять программное обеспечение для расчета режимов работы электроэнергетических объектов; проводить эксперименты и исследования на электроэнергетических объектах и анализировать результаты; возможно дальнейшее участие в научной деятельности на следующих этапах обучения (в магистратуре и аспирантуре) и научно-исследовательских центрах; проверять техническое состояние и остаточный ресурс, организовывать профилактические осмотры, диагностику и текущий ремонт электрооборудования; составлять заявки на оборудование и запасные части;  готовить техническую документацию на ремонт."
Цифровой инжиниринг объектов промышленной теплоэнергетики и энергетики теплотехнологий,"производить расчеты основных энергетических параметров энергетических установок,применять методы повышения энергетической эффективности их тепловых схем;  знаниям в части физических принципов получения тепловой и электрической энергии из разных источников, начиная от процессов горения, солнечного излучения до термоядерных реакций;  решению актуальных задач современных теплотехнологий."
Electric Grid Management,обязательные:Собеседование по портфолиоСобеседование по профилю программы маг-ры
Интеллектуальные системы электроснабжения,"определять эффективные производственно-технологические режимы работы объектов электроэнергетики и электротехники; применять методы и средства автоматизированных систем управления технологическими процессами электроэнергетической и электротехнической промышленности; разрабатывать эффективную стратегию и формировать активную политику управления с учетом рисков на предприятии; управлять действующими технологическими процессами, обеспечивающими выпуск продукции, отвечающей требованиям стандартов и рынка; анализировать состояния и динамику основных технико-экономических показателей деятельности промышленных предприятий с использованием необходимых методов и средств исследований с точки зрения электропотребления и качества электрической энергии; эксплуатировать и проектировать объекты интеллектуальной электроэнергетики."
Современный автоматизированный электропривод в производственных и технических системах,"ориентироваться в приоритетных направлениях науки и техники; проектировать и моделировать электромеханические и информационно-измерительные системы на основе современных, программных и аппаратных средств; разрабатывать и реализовывать структурные схемы систем автоматизированного управления и комплексной автоматизации; пользоваться новейшими компьютерными технологиями и программировать на языках высокого уровня; узнать экономические и правовые аспекты научно-технической деятельности в условиях современного рынка и применять методы научно-технического менеджмента и международного инжиниринга."
